unbounded_fraction,alpha,exponent,coalition_size,kappa,truthful_share,capture_ratio,capture_ratio_formula,budget_captured,budget_captured_solo_sum,superadditive,outsider_loss,welfare_loss
0.0,4.0,-0.75,13,1.5,0.7906058450687486,1.0581061742587343,1.0581061742587343,0.04590039327630294,0.2581935989171051,False,0.21934201854972066,0.03344211691164225
0.0,4.0,-0.75,14,1.5,0.8587719701410315,1.038461330871837,1.038461330871837,0.033009105747870304,0.2802302846585658,False,0.2338357472108031,0.02557084610960617
0.0,4.0,-0.75,15,1.5,0.9288750618890206,1.0190056618025827,1.0190056618025827,0.01764857040158887,0.3028278303124529,False,0.2481899053405475,0.01463584965638975
0.0,4.0,-0.75,16,1.5,1.0,1.0,1.0,-6.938893903907228e-18,0.32572032841021104,False,0.0,1.3877787807814457e-17
0.0,8.0,-0.875,1,1.5,0.05432143986790794,1.3936348976268562,1.3936348976268567,0.021370343255238334,0.021370343255238334,False,0.0226071421239555,0.015449846623460614
0.0,8.0,-0.875,2,1.5,0.1091987035318824,1.3625254965933264,1.3625254965933264,0.03954217958408754,0.04294300760402662,False,0.044424984397244405,0.029918136671063366
0.0,8.0,-0.875,3,1.5,0.16502721753933838,1.3322736467191694,1.3322736467191694,0.05474911894467854,0.06486159464967574,False,0.06564140345713536,0.043487505157929686
0.0,8.0,-0.875,4,1.5,0.22152939630041035,1.3029987615889034,1.3029987615889036,0.06698834760750061,0.08702265498502208,False,0.08617265141180903,0.05604802286849222
0.0,8.0,-0.875,5,1.5,0.27922418584043157,1.2744045557425288,1.2744045557425288,0.0764366380591488,0.10961397085221675,False,0.10622652105763598,0.06765417573440512
0.0,8.0,-0.875,6,1.5,0.33857266497879107,1.2462658162296518,1.2462658162296516,0.08316174208404946,0.13279928357881898,False,0.1259609601681613,0.07828676645386784
0.0,8.0,-0.875,7,1.5,0.3990965433718681,1.218817103358281,1.218817103358281,0.08709117055644137,0.15640429352708377,False,0.14521146542176258,0.08770945981207286
0.0,8.0,-0.875,8,1.5,0.4614461809661405,1.1917619743085635,1.1917619743085635,0.08827065154408675,0.18065715272161267,False,0.16418593997541917,0.09583376911711493
0.0,8.0,-0.875,9,1.5,0.5247618386428501,1.1654881367094339,1.1654881367094339,0.08664953398100443,0.20525013667807504,False,0.18261247425790117,0.1022637327743997
0.0,8.0,-0.875,10,1.5,0.588938941539395,1.1400103630579628,1.1400103630579628,0.08229770489975721,0.23014501409813962,False,0.20048070792794928,0.1066564096722259
0.0,8.0,-0.875,11,1.5,0.6537373906761242,1.1153914671237908,1.1153914671237908,0.07530776801531856,0.2552568423592504,False,0.2177465880345882,0.10850967740381871
0.0,8.0,-0.875,12,1.5,0.7197449962515722,1.09138211482887,1.09138211482887,0.0656773834176796,0.2807902991248438,False,0.23458497913346596,0.10705642806762955
0.0,8.0,-0.875,13,1.5,0.7868223564273414,1.0680199417921814,1.0680199417921814,0.05345757939888463,0.30669454066792096,False,0.2509694863737815,0.1009322360721131
0.0,8.0,-0.875,14,1.5,0.8559384486284826,1.0449721911591594,1.0449721911591594,0.03846073683506904,0.3333037667076568,False,0.2671334809014611,0.08734828842466015
0.0,8.0,-0.875,15,1.5,0.9273597491529372,1.0221794635257935,1.0221794635257935,0.020559857298609995,0.36070098943434575,False,0.2831186210829395,0.0599119377968933
0.0,8.0,-0.875,16,1.5,1.0,1.0,1.0,4.625929269271485e-18,0.38851321727390903,False,0.0,9.25185853854297e-18
