system,weights,ky,kx,radius,extracted_magnitude,extracted_freq,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,shuffled,3,2,3.605551275463989,0.007523151027547025,0.4960839383664003,damped,0.9511161542325851,0.0238732414637843,-0.9435930032050381,0.472210696902616
rotating,shuffled,3,3,4.242640687119285,0.007386203368654793,0.4994448874657005,damped,0.9329574768719912,0.0238732414637843,-0.9255712735033363,0.4755716460019162
rotating,shuffled,3,4,5.0,0.007492796274050296,0.49705403061390885,damped,0.9081162722143948,0.0238732414637843,-0.9006234759403445,0.47318078915012457
rotating,shuffled,3,5,5.830951894845301,0.007395535116758835,0.4966154208069102,damped,0.8771470002880658,0.0238732414637843,-0.869751465171307,0.4727421793431259
rotating,shuffled,4,0,4.0,0.00738957300373891,0.4995511511860544,damped,0.9401789706739411,0.0238732414637843,-0.9327893976702022,0.47567790972227014
rotating,shuffled,4,1,4.123105625617661,0.007479881042578729,0.4983647291021941,damped,0.9365612634996526,0.023873241463784296,-0.929081382457074,0.4744914876384098
rotating,shuffled,4,2,4.47213595499958,0.007586630165313279,0.49685289480564987,damped,0.9257914512036179,0.023873241463784306,-0.9182048210383047,0.47297965334186554
rotating,shuffled,4,3,5.0,0.007454671893131344,0.4972760529014868,damped,0.9081162722143948,0.0238732414637843,-0.9006616003212635,0.4734028114377025
rotating,shuffled,4,4,5.656854249492381,0.007559105489005782,0.4995705603258504,damped,0.8839364968975113,0.023873241463784306,-0.8763773914085056,0.4756973188620661
rotating,shuffled,5,0,5.0,0.007406902998239636,0.499560624892857,damped,0.9081162722143948,0.0238732414637843,-0.9007093692161552,0.47568738342907274
rotating,shuffled,5,1,5.0990195135927845,0.007376143432839473,0.498068899699372,damped,0.9046219388421827,0.023873241463784306,-0.8972457954093432,0.47419565823558774
rotating,shuffled,5,2,5.385164807134504,0.007513442077932301,0.49960043107126406,damped,0.8942194068777493,0.023873241463784306,-0.886705964799817,0.47572718960747973
rotating,shuffled,5,3,5.830951894845301,0.007391482755657723,0.4983441824645936,damped,0.8771470002880658,0.0238732414637843,-0.8697555175324081,0.47447094100080933
